"Health Facility Name","NIN OR HFR","Facility ID","Solar Working Status?",State,District,Block,"Health Facility Type","Mapped Vendor","Top 3 values of Data.facilityCategory.keyword","Open Tickets","Closed Tickets","No of Tickets Logged"
Adivala,8411884623,"FAC/2025/5010",Yes,Karnataka,Chitradurga,Hiriyur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
"Adivala A",2386873141,"FAC/2026/7290",Yes,Karnataka,Chitradurga,Hiriyur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Adki,4562488322,"FAC/2025/3829",Yes,Karnataka,Kalaburagi,Aland,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Adokgre,"mg-0169","FAC/2025/1475",Yes,Meghalaya,Northgarohills,Kharkutta,"Primary Health Center",MANGAAL,HEALTH,0,3,3
Adpalli,2262878289,"FAC/2025/5588",Yes,Maharashtra,Gadchiroli,Mulchera,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,2,2
Adri,2865178749,"FAC/2025/3278",Yes,Odisha,Kalahandi,"Thuamul Rampur","Primary Health Center","Onergy Solar",HEALTH,0,0,0
Adur,4777427131,"FAC/2025/4893",Yes,Karnataka,Haveri,Hanagal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,5,5
"Advi Hulagbal",6422733482,"FAC/2025/3519",Yes,Karnataka,Vijayapura,Muddebihal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Advi Somapur",3814323840,"FAC/2025/3885",Yes,Karnataka,Gadag,Gadag,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Aflagaon,4551867874,"FAC/2025/0790",Yes,Assam,Kokrajhar,Dotoma,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,2,2
Agachahalli,4467638559,"FAC/2026/6313",Yes,Karnataka,Mandya,Nagamangala,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Agadi,8777323323,"FAC/2025/4894",Yes,Karnataka,Haveri,Haveri,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Agalagandi,3717817773,"FAC/2026/6465",Yes,Karnataka,Chikkamagaluru,Koppa,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Agalkera,1384388227,"FAC/2025/3714",Yes,Karnataka,Koppal,Koppal,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Agarabannihatti,8678668115,"FAC/2026/7433",Yes,Karnataka,Davanagere,Channagiri,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Agarahara,4712171158,"FAC/2025/4113",Yes,Karnataka,Ballari,Sanduru,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Agarhara,3663326886,"FAC/2026/7587",Yes,Karnataka,Mysuru,Hunsur,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Agasanal,6288675637,"FAC/2025/3518",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Agasarakoppa,4371437379,"FAC/2025/5822",Yes,Karnataka,Bagalkote,Badami,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Agathala,7743825270,"FAC/2025/2351",Yes,Gujarat,Banaskantha,Lakhani,"Primary Health Center","Renesys Power Systems",HEALTH,0,1,1
"Aggreng gittim","mg-0515","FAC/2025/1134",Yes,Meghalaya,SouthGaroHills,Baghmara,"Health and Wellness Center",ERES,HEALTH,0,0,0
Agia,3241311327,"FAC/2025/0038",Yes,Assam,Goalpara,Agia,"Block Primary Health Center",ERES,HEALTH,0,0,0
Agni,8327855857,"FAC/2025/4269",Yes,Karnataka,Yadgir,Shorapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Agoli,2867872232,"FAC/2025/3713",Yes,Karnataka,Koppal,Gangavathi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Agrahara,2864574369,"FAC/2026/6466",Yes,Karnataka,Chikkamagaluru,Kaduru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
Agrahara,7682781187,"FAC/2026/6971",Yes,Karnataka,Tumkur,Koratagere,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Agthala,6354587823,"FAC/2025/2350",Yes,Gujarat,Banaskantha,Lakhani,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
Aheri,6313818871,"FAC/2025/3517",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Aho,IN1110000177,"FAC/2025/2169",Yes,Sikkim,Pakyong,Pakyong,"Health and Wellness Center",ERES,HEALTH,0,1,1
Ahthibung,IN1310000152,"FAC/2026/7095",Yes,Nagaland,Peren,Ahthibung,"Primary Health Center","Aboriginal Energy",HEALTH,0,2,2
Aibawk,aibawk,"FAC/2025/5732",Yes,Mizoram,Aizawl,Aibawk,"Health Clinic","Agni Green Power Ltd",HEALTH,0,0,0
"Aibawk PHC",AibawkPHC,"FAC/2025/2619",Yes,Mizoram,Aizawl,Aibawk,"Primary Health Center","Krishna Power Solution",HEALTH,0,0,0
Aibhandar,3864747211,"FAC/2025/0762",Yes,Assam,Kokrajhar,Kachugaon,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
"Ailawng SC",AilawngSC,"FAC/2025/2832",Yes,Mizoram,Mamit,Reiek,"Sub Center","Agni Green Power Ltd",HEALTH,0,0,0
"Aimol Tampak",6324754685,"FAC/2025/1678",Yes,Manipur,Tengnoupal,Tengnoupal,"Health and Wellness Center",MANGAAL,HEALTH,0,1,1
"Ainapur Two",2638637344,"FAC/2025/4032",Yes,Karnataka,Belagavi,Athani,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Ainapur-Chincholli",1621245321,"FAC/2025/3828",Yes,Karnataka,Kalaburagi,Chincholi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Ainapur-Vijayapur",7185846545,"FAC/2025/3516",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Aingli,8257423775,"FAC/2025/5080",Yes,Karnataka,Belagavi,Athani,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Ainlajore,8212252160,"FAC/2025/3277",Yes,Odisha,Kalahandi,Dharmagarh,"Sub Center","Onergy Solar",HEALTH,0,1,1
Ainolli,4245638855,"FAC/2025/3827",Yes,Karnataka,Kalaburagi,Chincholi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
Aitepong,null,"FAC/2026/7962",Yes,Nagaland,Wokha,Sanis,"Sub Center","(missing value)",HEALTH,0,0,0
"Ajapupur Mota",3565171166,"FAC/2025/2462",Yes,Gujarat,Banaskantha,Amirgadh,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
"Ajapupur Vanka",5618776388,"FAC/2025/2461",Yes,Gujarat,Banaskantha,Amirgadh,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
"Ajasora SC",AjasoraSC,"FAC/2025/2497",Yes,Mizoram,Lawngtlai,Chawngte,"Sub Center Delivery","Agni Green Power Ltd",HEALTH,0,0,0
Ajiavara,7131488343,"FAC/2026/6807",Yes,Karnataka,Chikkaballapura,Chikkabalapura,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Ajjapanahalli,4746667353,"FAC/2026/6873",Yes,Karnataka,Kolar,Bangarpet,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Ajjarakad,4447181322,"FAC/2025/3326",Yes,Karnataka,Udupi,Udupi,"District Malaria Hospital","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Akampat,3675857431,"FAC/2025/1828",Yes,Manipur,ImphalEast,KeiraoBitra,"Primary Health Center","SNL Energy Solutions",HEALTH,0,0,0
Akaya,4767717459,"FAC/2025/0208",Yes,Assam,Barpeta,Bhabanipur,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
"Akhegwo PHC",IN1310000915,"FAC/2025/2056",Yes,Nagaland,Phek,Melure,"Primary Health Center","Aboriginal Energy",HEALTH,0,0,0
Akhui,2757868563,"FAC/2025/1693",Yes,Manipur,Tamenglong,Tamenglong,"Sub Center","DKK3 Sons",HEALTH,0,1,1
"Akito PHC",IN1310000408,"FAC/2025/2104",Yes,Nagaland,Niuland,Niuland,"Primary Health Center","Aboriginal Energy",HEALTH,0,0,0
Akkimangala,5544234841,"FAC/2026/6828",Yes,Karnataka,Chikkaballapura,Chintamani,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Akkivalli,6785433423,"FAC/2026/7510",Yes,Karnataka,Haveri,Hangal,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Akkol,8147547577,"FAC/2025/5093",Yes,Karnataka,Belagavi,Nippani,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Akoli,1111764237,"FAC/2025/2289",Yes,Gujarat,Banaskantha,Vav,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
Alabur,8568737137,"FAC/2025/4634",Yes,Karnataka,Vijayanagar,Hagribommanahalli,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Aladakatti,1778464626,"FAC/2025/4010",Yes,Karnataka,Belagavi,Belagavi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Alagawadi,1223484849,"FAC/2025/5902",Yes,Karnataka,Belagavi,Raybag,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,1,1
Alagawadi,4583822822,"FAC/2025/4935",Yes,Karnataka,Dharwad,Navalgund,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Alageri Mandri",8553856777,"FAC/2025/5957",Yes,Karnataka,Shivamogga,Hosanagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Alaghatta,6677372341,"FAC/2026/7291",Yes,Karnataka,Chitradurga,Hosadurga,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Alagundi B K",8167664583,"FAC/2025/5871",Yes,Karnataka,Bagalkote,Mudhol,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Alagur,7456756837,"FAC/2025/3515",Yes,Karnataka,Vijayapura,Sindagi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Alakapura,1115745265,"FAC/2026/6831",Yes,Karnataka,Chikkaballapura,Gowribidanuru,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
Alakhanur,8782313640,"FAC/2025/5903",Yes,Karnataka,Belagavi,Raybag,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Alambgiri,5882685273,"FAC/2026/6814",Yes,Karnataka,Chikkaballapura,Chintamani,"Health and Wellness Center","Sukruthi Innovations",HEALTH,0,0,0
"Aland Taluk Hospital",3887755357,"FAC/2025/4471",Yes,Karnataka,Kalaburagi,Aland,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Alandi,6744283232,"FAC/2025/3979",Yes,Karnataka,Bidar,Bhalki,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Alawandi,2136115678,"FAC/2025/4758",Yes,Karnataka,Koppal,Koppal,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Alduru B",2144643877,"FAC/2026/6467",Yes,Karnataka,Chikkamagaluru,Chikkamagaluru,"Health and Wellness Center","Solar Hi Tech",HEALTH,0,0,0
"Alegaon Paga",7568334721,"FAC/2026/10602",Yes,Maharashtra,Pune,Shirur,"Sub Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
"Aligaon      ",1136151477,"FAC/2026/10512",Yes,Odisha,Koraput,Semliguda,"Sub Center","Onergy Solar",HEALTH,0,0,0
Alikash,3868434519,"FAC/2025/0102",Yes,Assam,Kamrup,Chaygaon,"State Dispensary","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Alinye,2448366274,"FAC/2026/8685",Yes,"Arunachal Pradesh",DibangValley,AniniMipi,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Alipura,1351231640,"FAC/2025/3618",Yes,Karnataka,Vijayanagara,Hadagali,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Alisopur SC",IN1310000594,"FAC/2025/1964",Yes,Nagaland,Tuensang,Chare,"Sub Center","A and D Solar",HEALTH,0,0,0
Aliyabad,1542887581,"FAC/2025/3514",Yes,Karnataka,Vijayapura,Vijayapura,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Aliyambar,1117331247,"FAC/2025/3978",Yes,Karnataka,Bidar,Bidar,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Alkoda,8821683185,"FAC/2025/5465",Yes,Karnataka,Raichur,Devadurga,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Allapalli,1124373117,"FAC/2026/10546",Yes,Maharashtra,Gadchiroli,Mulchera,"Primary Health Center","Devidayal Solar",HEALTH,0,0,0
Allia,6821121263,"FAC/2025/0078",Yes,Assam,Nalbari,BarigogBanbang,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
"Allipura-Ballari",5467668751,"FAC/2025/4112",Yes,Karnataka,Ballari,Ballari,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,1,1
"Allipura-Yadgir",4614688713,"FAC/2025/3374",Yes,Karnataka,Yadgir,Yadgir,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Alloli,1845544830,"FAC/2025/4801",Yes,Karnataka,Kalaburagi,Chittapur,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
Allubari,1116126473,"FAC/2026/8749",Yes,"Arunachal Pradesh",Namsai,Chowkham,"Sub Center","Bharti Sharma",HEALTH,0,0,0
"Almonda      ",8837358210,"FAC/2026/10332",Yes,Odisha,Koraput,Bandhugaon,"Sub Center","Onergy Solar",HEALTH,0,0,0
Alongtopte,1314715226,"FAC/2026/8646",Yes,"Arunachal Pradesh",PakkeKessang,PakkeKessang,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Aloor,4445836358,"FAC/2025/3826",Yes,Karnataka,Kalaburagi,Jewargi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Alopati Cltan",6338386177,"FAC/2025/0197",Yes,Assam,Barpeta,Mandia,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Alukhunda,4828632242,"FAC/2025/0936",Yes,Assam,Chirang,Ballamguri,"Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Alur,8242714742,"FAC/2025/4625",Yes,Karnataka,Vijayanagar,Kudligi,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Alur,8348322812,"FAC/2025/6126",Yes,Karnataka,UttaraKannada,Haliyal,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
"Alur Taluk Hospital",4746412388,"FAC/2025/4482",Yes,Karnataka,Hassan,Alur,"Taluka Hospital","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Alur-Chittapur",6216124617,"FAC/2025/3825",Yes,Karnataka,Kalaburagi,Chittapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Alur-Indi",8222588850,"FAC/2025/3513",Yes,Karnataka,Vijayapura,Indi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Amasebail Ayurvedic Center",1122631821,"FAC/2025/3300",Yes,Karnataka,Udupi,Udupi,"Ayurvedic Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
Ambagan,1577384439,"FAC/2025/0668",Yes,Assam,Nagaon,Laokhowa,"State Dispensary","Renesys Power Systems",HEALTH,0,0,0
"Ambaji Three",3235886581,"FAC/2025/2413",Yes,Gujarat,Banaskantha,Danta,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
"Ambale Nimone",1163873886,"FAC/2026/10626",Yes,Maharashtra,Pune,Shirur,"Sub Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Ambali,6576346388,"FAC/2025/3617",Yes,Karnataka,Vijayanagara,HBHalli,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Ambam,8551344842,"FAC/2026/8729",Yes,"Arunachal Pradesh",LowerSubansiri,Ziro2,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Ambaragoppa,3432758435,"FAC/2025/6018",Yes,Karnataka,Shivamogga,Shikaripura,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Ambari,8454862718,"FAC/2025/0047",Yes,Assam,Goalpara,Rangjuli,"Mini Primary Health Center",ERES,HEALTH,0,0,0
Ambesanghvi,7142646483,"FAC/2025/3977",Yes,Karnataka,Bidar,Bhalki,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
Ambhamath,4573787613,"FAC/2025/5305",Yes,Karnataka,Raichur,Sindhanur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,2,2
Ambligola,8724851764,"FAC/2025/6019",Yes,Karnataka,Shivamogga,Shikaripura,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Amdah,6634131111,"FAC/2025/0220",Yes,Assam,Barpeta,Barpeta,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Amdalli,7654842454,"FAC/2025/4705",Yes,Karnataka,UttaraKannada,Karwar,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,0,0
Amdihal,8228468610,"FAC/2025/5282",Yes,Karnataka,Raichur,Lingasugur,"Health and Wellness Center","Selco Solar Light Pvt Ltd",HEALTH,0,3,3
"Amgaon M",3852378334,"FAC/2026/10547",Yes,Maharashtra,Gadchiroli,Chamorshi,"Primary Health Center","Devidayal Solar",HEALTH,0,0,0
"Amguri Balasari",4258538430,"FAC/2025/0019",Yes,Assam,Goalpara,Lakhipur,"Sub Center",ERES,HEALTH,0,1,1
Amindagre,"mg-0393","FAC/2025/1253",Yes,Meghalaya,WestGaroHills,Gambegre,"Health and Wellness Center",ERES,HEALTH,0,0,0
Aminpara,4886417130,"FAC/2025/1012",Yes,Assam,Udalguri,Orang,"Sub Center",ERES,HEALTH,0,0,0
Amirgadh,1115843516,"FAC/2025/2460",Yes,Gujarat,Banaskantha,Amirgadh,"Sub Center","Renesys Power Systems",HEALTH,0,0,0
Amjong,"mg-0033","FAC/2025/1608",Yes,Meghalaya,RiBhoi,Bhoirymbong,"Health and Wellness Center",ERES,HEALTH,0,0,0
Amjonga,5578278458,"FAC/2025/0137",Yes,Assam,Goalpara,Kushdhowa,"New Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Amlapur,4666834231,"FAC/2025/5937",Yes,Karnataka,Bidar,Bidar,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Amliang,8841618278,"FAC/2026/8396",Yes,"Arunachal Pradesh",Anjaw,Hayuliang,"Sub Center","Bharti Sharma",HEALTH,0,0,0
Ammanakere,6215816155,"FAC/2025/3616",Yes,Karnataka,Vijayanagara,Kudilgi,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Ampabali      ",7274738165,"FAC/2026/10497",Yes,Odisha,Koraput,Pottangi,"Sub Center","Onergy Solar",HEALTH,0,0,0
Ampani,1111457725,"FAC/2025/3275",Yes,Odisha,Kalahandi,Koksara,"Primary Health Center","Onergy Solar",HEALTH,0,1,1
"Ampathi B",17671010402,"FAC/2026/8173",Yes,Meghalaya,SouthWestGaroHills,Betasing,Anganwadi,ERES,ANGANWADI,0,0,0
"Amteka Mini PHC",6375664387,"FAC/2025/0934",Yes,Assam,Chirang,Ballamguri,"Mini Primary Health Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,4,4
"Amteka SC",1756241517,"FAC/2025/0986",Yes,Assam,Chirang,Ballamguri,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,0,0
Anabi,8363163877,"FAC/2025/4287",Yes,Karnataka,Yadgir,Shahapur,"Sub Center","Medi-Wave Health Systems Pvt Ltd",HEALTH,0,0,0
"Anal Khullen",6636867571,"FAC/2025/1886",Yes,Manipur,Chandel,Chandel,"Sub Center","SNL Energy Solutions",HEALTH,0,0,0
"Anand Nagar",1521557635,"FAC/2025/4963",Yes,Karnataka,Dharwad,Hubli,"Urban Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Ananda Bazar-Ballamguri",5513163237,"FAC/2025/0985",Yes,Assam,Chirang,Ballamguri,"Sub Center","Kirloskar Solar Technology Pvt Ltd",HEALTH,0,1,1
Anandapura,1751315332,"FAC/2025/5998",Yes,Karnataka,Shivamogga,Sagara,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
Anangpara,"mg-0498","FAC/2025/1151",Yes,Meghalaya,Westgarohills,Dalu,"Health and Wellness Center",ERES,HEALTH,0,2,2
Ananthpur,2268648249,"FAC/2025/5083",Yes,Karnataka,Belagavi,Athani,"Primary Health Center","Selco Solar Light Pvt Ltd",HEALTH,0,1,1
"Anavatti B",2223316551,"FAC/2025/6051",Yes,Karnataka,Shivamogga,Soraba,"Health and Wellness Center","Glow Power Technologies",HEALTH,0,0,0
